Year,Month,Hour,Vehicle,Driver / Operator Type,City,State,Roadway Type,Roadway Surface,Roadway Description,Lighting,Weather - Clear,Weather - Snow,Weather - Cloudy,Weather - Fog/Smoke,Weather - Rain,Weather - Severe Wind,Weather - Unknown,Weather - Other,Weather - Other Text,Crash With,Highest Injury Severity Alleged,CP Pre-Crash Movement,CP Any Air Bags Deployed?,CP Was Vehicle Towed?,CP Contact Area - Rear Left,CP Contact Area - Left,CP Contact Area - Front Left,CP Contact Area - Rear,CP Contact Area - Top,CP Contact Area - Front,CP Contact Area - Rear Right,CP Contact Area - Right,CP Contact Area - Front Right,CP Contact Area - Bottom,CP Contact Area - Unknown,SV Pre-Crash Movement,SV Any Air Bags Deployed?,SV Was Vehicle Towed?,SV Were All Passengers Belted?,SV Pre-crash Speed - Unknown,SV Contact Area - Rear Left,SV Contact Area - Left,SV Contact Area - Front Left,SV Contact Area - Rear,SV Contact Area - Top,SV Contact Area - Front,SV Contact Area - Rear Right,SV Contact Area - Right,SV Contact Area - Front Right,SV Contact Area - Bottom,SV Contact Area - Unknown,Speed Difference Category,Mileage Category
2025,5,12,Chevrolet Traverse 2024,Consumer,Millsboro,DE,Street,Dry,No Unusual Conditions,Daylight,N,N,Y,N,N,N,N,N,N,Heavy Truck,No Injuries Reported,Making Left Turn,Unknown,Unknown,N,N,N,N,N,N,N,N,N,N,Y,Proceeding Straight,Yes,Unknown,Yes,N,N,N,Y,N,N,Y,N,N,Y,N,N,At or Below Limit,Medium
2025,5,1,Tesla \Model Y 2022,Consumer,Elk Grove,CA,Street,Dry,No Unusual Conditions,Daylight,Y,N,N,N,N,N,N,N,N,SUV,Unknown,Proceeding Straight,Unknown,Unknown,N,N,Y,N,N,N,N,N,N,N,N,Proceeding Straight,No,Yes,Unknown,N,N,N,Y,N,N,Y,Y,N,Y,N,N,At or Below Limit,Very High
2025,5,18,Tesla Model Y 2025,Consumer,Springfield,NJ,Highway / Freeway,Dry,No Unusual Conditions,Unknown,Y,N,N,N,N,N,N,N,N,Unknown,Unknown,Unknown,Unknown,Unknown,N,N,N,N,N,N,N,N,N,N,Y,Unknown,Yes,Unknown,Unknown,N,N,N,N,N,N,N,N,N,N,N,Y,At or Below Limit,Low
2025,5,15,Tesla Model Y 2024,Consumer,Joppatowne,MD,Intersection,Dry,No Unusual Conditions,Daylight,N,N,Y,N,N,N,N,N,N,Passenger Car,Unknown,Proceeding Straight,Yes,Unknown,N,N,Y,N,N,Y,N,N,Y,N,N,Proceeding Straight,Yes,Unknown,Unknown,N,N,N,N,N,N,N,N,N,Y,N,N,At or Below Limit,Medium
2025,5,20,Tesla Model Y 2024,Consumer,Cupertino,CA,Intersection,Dry,No Unusual Conditions,Daylight,Y,N,N,N,N,N,N,N,N,SUV,Unknown,Proceeding Straight,Unknown,Unknown,N,N,Y,N,N,Y,N,N,Y,N,N,"Other, see Narrative",No,Yes,Unknown,N,N,N,N,N,N,Y,N,N,Y,N,N,At or Below Limit,Medium
2025,5,15,Tesla Model X 2020,Consumer,River Ranch,FL,Rural Road,Dry,Unknown,Daylight,Y,N,N,N,N,N,N,N,N,Unknown,Unknown,Unknown,Unknown,Unknown,N,N,N,N,N,N,N,N,N,N,Y,Unknown,Yes,Unknown,Unknown,N,N,N,N,N,N,N,N,N,N,N,Y,At or Below Limit,Very High
2025,5,23,Tesla Model 3 2018,Consumer,Van Nuys,CA,Highway / Freeway,Dry,No Unusual Conditions,Daylight,Y,N,N,N,N,N,N,N,N,Other Fixed Object,Unknown,Unknown,Unknown,Unknown,N,N,N,N,N,N,N,N,N,N,N,Lane / Road Departure,Yes,Unknown,Unknown,N,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,At or Below Limit,High
2025,5,20,Tesla Model Y 2023,Consumer,Baker,CA,Unknown,Unknown,Unknown,Unknown,N,N,N,N,N,N,Y,N,N,Unknown,Unknown,Unknown,Unknown,Unknown,N,N,N,N,N,N,N,N,N,N,Y,Unknown,Yes,Unknown,Unknown,N,N,N,N,N,N,N,N,N,N,N,Y,At or Below Limit,Very High
2025,5,21,Tesla Model Y 2021,Consumer,Glendale,CA,Highway / Freeway,Dry,No Unusual Conditions,Daylight,Y,N,N,N,N,N,N,N,N,Other Fixed Object,Unknown,Unknown,Unknown,Unknown,N,N,N,N,N,N,N,N,N,N,N,Lane / Road Departure,Yes,Unknown,Unknown,N,Y,Y,Y,N,N,N,N,N,N,N,N,Slightly Over,Very High
2025,5,16,Tesla Model 3 2019,Consumer,Midlothian,VA,Highway / Freeway,Dry,No Unusual Conditions,Daylight,N,N,Y,N,N,N,N,N,N,"Other, see Narrative",Unknown,Unknown,Unknown,Unknown,N,N,N,N,N,N,N,N,N,N,Y,Lane / Road Departure,Yes,Unknown,Unknown,N,N,N,Y,N,N,Y,N,N,N,Y,N,At or Below Limit,Very High
